time /min,PdPy*2,L,Pd9L6,Py*
0,99.99999999999999,39.16256157635468,0.0,0.0
5,49.26108374384236,0.0,13.300492610837438,39.16256157635468
10,50.24630541871921,0.0,17.733990147783253,39.6551724137931
15,50.24630541871921,0.0,17.733990147783253,39.6551724137931
20,50.24630541871921,0.0,17.733990147783253,39.6551724137931
25,50.73891625615763,0.0,17.733990147783253,39.90147783251231
30,51.23152709359606,0.0,17.733990147783253,40.14778325123152
35,50.73891625615763,0.0,22.167487684729064,39.90147783251231
40,51.72413793103448,0.0,22.167487684729064,40.14778325123152
45,51.23152709359606,0.0,22.167487684729064,39.40886699507389
50,52.216748768472904,0.0,22.167487684729064,40.14778325123152
55,52.216748768472904,0.0,22.167487684729064,39.90147783251231
60,52.70935960591133,0.0,22.167487684729064,40.64039408866994
120,55.17241379310345,0.0,22.167487684729064,39.90147783251231
180,56.157635467980285,0.0,22.167487684729064,39.6551724137931
240,56.65024630541872,0.0,22.167487684729064,39.40886699507389
360,52.70935960591133,0.0,22.167487684729064,36.699507389162555
480,59.60591133004925,0.0,26.600985221674875,40.14778325123152
720,59.60591133004925,0.0,31.03448275862069,40.14778325123152
